kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,10,0.001,4,0.01,9.5,2.412,0.461,0.739
poly,2,10,0.001,4,0.1,9.264,2.367,0.475,0.746
poly,2,10,0.001,4,0.5,9.447,2.422,0.485,0.744
poly,2,10,0.001,4,0.8,9.275,2.434,0.485,0.747
poly,2,15,0.1,1,0.01,35.286,4.058,-1.186,0.518
poly,2,15,0.1,1,0.1,29.453,3.744,-0.761,0.554
poly,2,15,0.1,1,0.5,21.689,3.304,-0.276,0.572
poly,2,15,0.1,1,0.8,19.864,3.212,-0.222,0.512
poly,2,15,0.1,2,0.01,35.361,4.059,-1.19,0.518
poly,2,15,0.1,2,0.1,29.533,3.747,-0.766,0.553
poly,2,15,0.1,2,0.5,21.724,3.308,-0.279,0.573
poly,2,15,0.1,2,0.8,19.692,3.214,-0.211,0.516
poly,2,15,0.1,3,0.01,35.384,4.06,-1.192,0.518
poly,2,15,0.1,3,0.1,29.671,3.752,-0.776,0.553
poly,2,15,0.1,3,0.5,21.715,3.308,-0.279,0.573
poly,2,15,0.1,3,0.8,19.631,3.215,-0.207,0.517
poly,2,15,0.1,4,0.01,35.413,4.061,-1.193,0.518
poly,2,15,0.1,4,0.1,29.657,3.75,-0.776,0.553
poly,2,15,0.1,4,0.5,21.67,3.308,-0.276,0.573
poly,2,15,0.1,4,0.8,19.596,3.215,-0.204,0.517
poly,2,15,0.01,1,0.01,9.866,2.416,0.433,0.73
poly,2,15,0.01,1,0.1,9.585,2.399,0.448,0.733
poly,2,15,0.01,1,0.5,9.81,2.478,0.453,0.735
poly,2,15,0.01,1,0.8,9.542,2.454,0.457,0.729
poly,2,15,0.01,2,0.01,9.909,2.42,0.43,0.729
poly,2,15,0.01,2,0.1,9.611,2.401,0.446,0.733
poly,2,15,0.01,2,0.5,9.798,2.479,0.454,0.736
poly,2,15,0.01,2,0.8,9.614,2.462,0.452,0.728
poly,2,15,0.01,3,0.01,9.92,2.421,0.429,0.729
poly,2,15,0.01,3,0.1,9.623,2.402,0.446,0.733
poly,2,15,0.01,3,0.5,9.8,2.48,0.454,0.736
poly,2,15,0.01,3,0.8,9.637,2.464,0.451,0.727
poly,2,15,0.01,4,0.01,9.926,2.421,0.429,0.729
poly,2,15,0.01,4,0.1,9.63,2.402,0.445,0.732
poly,2,15,0.01,4,0.5,9.799,2.481,0.454,0.736
poly,2,15,0.01,4,0.8,9.648,2.466,0.45,0.727
poly,2,15,0.001,1,0.01,9.4,2.392,0.47,0.739
poly,2,15,0.001,1,0.1,9.219,2.359,0.482,0.749
poly,2,15,0.001,1,0.5,9.342,2.418,0.497,0.747
poly,2,15,0.001,1,0.8,9.408,2.457,0.49,0.746
poly,2,15,0.001,2,0.01,9.49,2.408,0.462,0.739
poly,2,15,0.001,2,0.1,9.3,2.368,0.474,0.746
poly,2,15,0.001,2,0.5,9.387,2.415,0.489,0.745
poly,2,15,0.001,2,0.8,9.272,2.433,0.488,0.748
poly,2,15,0.001,3,0.01,9.462,2.41,0.462,0.74
poly,2,15,0.001,3,0.1,9.252,2.366,0.475,0.746
poly,2,15,0.001,3,0.5,9.441,2.426,0.484,0.743
poly,2,15,0.001,3,0.8,9.273,2.433,0.484,0.746
poly,2,15,0.001,4,0.01,9.485,2.418,0.46,0.739
poly,2,15,0.001,4,0.1,9.238,2.36,0.476,0.747
poly,2,15,0.001,4,0.5,9.49,2.433,0.481,0.74
poly,2,15,0.001,4,0.8,9.345,2.437,0.477,0.743
poly,3,1,0.1,1,0.01,36.209,3.81,-1.213,0.464
poly,3,1,0.1,1,0.1,35.126,3.691,-1.2,0.491
poly,3,1,0.1,1,0.5,15.993,2.988,0.107,0.587
poly,3,1,0.1,1,0.8,10.251,2.534,0.427,0.691
poly,3,1,0.1,2,0.01,42.803,4.09,-1.565,0.436
poly,3,1,0.1,2,0.1,39.327,3.977,-1.384,0.449
poly,3,1,0.1,2,0.5,19.592,3.264,-0.107,0.563
poly,3,1,0.1,2,0.8,10.711,2.596,0.404,0.689
poly,3,1,0.1,3,0.01,45.892,4.259,-1.723,0.42
poly,3,1,0.1,3,0.1,42.161,4.155,-1.514,0.428
poly,3,1,0.1,3,0.5,23.162,3.47,-0.311,0.54
poly,3,1,0.1,3,0.8,11.276,2.662,0.372,0.678
poly,3,1,0.1,4,0.01,47.941,4.375,-1.82,0.411
poly,3,1,0.1,4,0.1,43.909,4.269,-1.588,0.416
poly,3,1,0.1,4,0.5,25.944,3.608,-0.474,0.527
poly,3,1,0.1,4,0.8,11.753,2.711,0.344,0.668
poly,3,1,0.01,1,0.01,9.279,2.366,0.469,0.743
poly,3,1,0.01,1,0.1,9.165,2.355,0.479,0.747
poly,3,1,0.01,1,0.5,9.453,2.449,0.483,0.747
poly,3,1,0.01,1,0.8,9.289,2.444,0.491,0.75
poly,3,1,0.01,2,0.01,9.547,2.374,0.447,0.737
poly,3,1,0.01,2,0.1,9.468,2.371,0.456,0.738
poly,3,1,0.01,2,0.5,9.515,2.449,0.472,0.742
poly,3,1,0.01,2,0.8,9.083,2.413,0.485,0.746
poly,3,1,0.01,3,0.01,9.568,2.381,0.449,0.735
poly,3,1,0.01,3,0.1,9.47,2.375,0.458,0.736
poly,3,1,0.01,3,0.5,9.65,2.452,0.462,0.739
poly,3,1,0.01,3,0.8,9.176,2.408,0.477,0.743
poly,3,1,0.01,4,0.01,9.622,2.388,0.448,0.734
poly,3,1,0.01,4,0.1,9.529,2.386,0.454,0.735
poly,3,1,0.01,4,0.5,9.792,2.475,0.454,0.736
poly,3,1,0.01,4,0.8,9.38,2.436,0.465,0.735
poly,3,1,0.001,1,0.01,11.106,2.586,0.434,0.751
poly,3,1,0.001,1,0.1,11.053,2.584,0.437,0.751
poly,3,1,0.001,1,0.5,11.469,2.637,0.421,0.753
poly,3,1,0.001,1,0.8,12.384,2.765,0.376,0.74
poly,3,1,0.001,2,0.01,9.396,2.395,0.485,0.744
poly,3,1,0.001,2,0.1,9.443,2.38,0.487,0.747
poly,3,1,0.001,2,0.5,9.369,2.415,0.504,0.755
poly,3,1,0.001,2,0.8,9.989,2.512,0.479,0.746
poly,3,1,0.001,3,0.01,9.387,2.394,0.472,0.74
poly,3,1,0.001,3,0.1,9.239,2.363,0.482,0.749
poly,3,1,0.001,3,0.5,9.33,2.418,0.497,0.748
poly,3,1,0.001,3,0.8,9.406,2.455,0.491,0.747
poly,3,1,0.001,4,0.01,9.478,2.408,0.464,0.739
poly,3,1,0.001,4,0.1,9.25,2.362,0.477,0.747
poly,3,1,0.001,4,0.5,9.412,2.422,0.488,0.744
poly,3,1,0.001,4,0.8,9.33,2.442,0.489,0.747
poly,3,5,0.1,1,0.01,92.97,5.638,-4.7,0.26
poly,3,5,0.1,1,0.1,87.095,5.368,-4.489,0.283
poly,3,5,0.1,1,0.5,20.828,3.366,-0.174,0.53
poly,3,5,0.1,1,0.8,10.247,2.534,0.427,0.691
poly,3,5,0.1,2,0.01,107.36,5.98,-5.417,0.255
poly,3,5,0.1,2,0.1,100.711,5.756,-5.266,0.273
poly,3,5,0.1,2,0.5,26.03,3.637,-0.47,0.494
poly,3,5,0.1,2,0.8,10.711,2.596,0.404,0.689
poly,3,5,0.1,3,0.01,116.958,6.183,-5.934,0.252
poly,3,5,0.1,3,0.1,106.607,5.935,-5.565,0.27
poly,3,5,0.1,3,0.5,29.858,3.796,-0.694,0.464
poly,3,5,0.1,3,0.8,11.276,2.662,0.372,0.678
poly,3,5,0.1,4,0.01,123.568,6.317,-6.289,0.25
poly,3,5,0.1,4,0.1,110.19,6.038,-5.739,0.271
poly,3,5,0.1,4,0.5,33.139,3.903,-0.889,0.438
poly,3,5,0.1,4,0.8,11.753,2.711,0.344,0.668
poly,3,5,0.01,1,0.01,10.035,2.44,0.422,0.725
poly,3,5,0.01,1,0.1,9.745,2.423,0.439,0.728
poly,3,5,0.01,1,0.5,9.798,2.476,0.453,0.733
poly,3,5,0.01,1,0.8,9.361,2.433,0.469,0.732
poly,3,5,0.01,2,0.01,11.225,2.572,0.345,0.703
poly,3,5,0.01,2,0.1,10.461,2.517,0.396,0.716
poly,3,5,0.01,2,0.5,10.261,2.495,0.419,0.721
poly,3,5,0.01,2,0.8,9.858,2.461,0.447,0.717
poly,3,5,0.01,3,0.01,12.001,2.64,0.297,0.687
poly,3,5,0.01,3,0.1,11.006,2.584,0.358,0.707
poly,3,5,0.01,3,0.5,10.803,2.532,0.387,0.707
poly,3,5,0.01,3,0.8,10.098,2.479,0.439,0.713
poly,3,5,0.01,4,0.01,12.951,2.727,0.235,0.672
poly,3,5,0.01,4,0.1,11.662,2.667,0.314,0.695
poly,3,5,0.01,4,0.5,11.201,2.557,0.362,0.696
poly,3,5,0.01,4,0.8,10.392,2.509,0.425,0.707
poly,3,5,0.001,1,0.01,9.337,2.387,0.483,0.744
poly,3,5,0.001,1,0.1,9.252,2.36,0.491,0.75
poly,3,5,0.001,1,0.5,9.361,2.416,0.502,0.752
poly,3,5,0.001,1,0.8,9.919,2.501,0.477,0.745
poly,3,5,0.001,2,0.01,9.459,2.405,0.464,0.739
poly,3,5,0.001,2,0.1,9.297,2.369,0.474,0.746
poly,3,5,0.001,2,0.5,9.357,2.414,0.49,0.745
poly,3,5,0.001,2,0.8,9.278,2.437,0.488,0.747
poly,3,5,0.001,3,0.01,9.437,2.408,0.463,0.739
poly,3,5,0.001,3,0.1,9.229,2.36,0.473,0.747
poly,3,5,0.001,3,0.5,9.439,2.433,0.482,0.741
poly,3,5,0.001,3,0.8,9.306,2.427,0.478,0.743
poly,3,5,0.001,4,0.01,9.415,2.405,0.462,0.739
poly,3,5,0.001,4,0.1,9.207,2.358,0.473,0.748
poly,3,5,0.001,4,0.5,9.521,2.443,0.476,0.739
poly,3,5,0.001,4,0.8,9.296,2.423,0.475,0.743
poly,3,10,0.1,1,0.01,159.511,6.681,-8.774,0.224
poly,3,10,0.1,1,0.1,116.496,5.918,-6.194,0.272
poly,3,10,0.1,1,0.5,21.269,3.374,-0.201,0.519
poly,3,10,0.1,1,0.8,10.247,2.534,0.427,0.691
poly,3,10,0.1,2,0.01,181.277,7.101,-9.935,0.226
poly,3,10,0.1,2,0.1,127.032,6.22,-6.693,0.268
poly,3,10,0.1,2,0.5,26.329,3.64,-0.489,0.488
poly,3,10,0.1,2,0.8,10.711,2.596,0.404,0.689
poly,3,10,0.1,3,0.01,193.876,7.321,-10.655,0.226
poly,3,10,0.1,3,0.1,131.904,6.362,-6.924,0.268
poly,3,10,0.1,3,0.5,30.065,3.793,-0.707,0.459
poly,3,10,0.1,3,0.8,11.276,2.662,0.372,0.678
poly,3,10,0.1,4,0.01,200.514,7.44,-11.027,0.226
poly,3,10,0.1,4,0.1,135.814,6.459,-7.117,0.268
poly,3,10,0.1,4,0.5,33.209,3.901,-0.893,0.437
poly,3,10,0.1,4,0.8,11.753,2.711,0.344,0.668
poly,3,10,0.01,1,0.01,11.391,2.586,0.335,0.699
poly,3,10,0.01,1,0.1,10.579,2.53,0.389,0.713
poly,3,10,0.01,1,0.5,10.281,2.496,0.418,0.72
poly,3,10,0.01,1,0.8,9.684,2.438,0.458,0.72
poly,3,10,0.01,2,0.01,13.142,2.742,0.221,0.669
poly,3,10,0.01,2,0.1,11.835,2.687,0.304,0.691
poly,3,10,0.01,2,0.5,11.144,2.551,0.366,0.697
poly,3,10,0.01,2,0.8,10.312,2.501,0.429,0.708
poly,3,10,0.01,3,0.01,14.725,2.878,0.116,0.649
poly,3,10,0.01,3,0.1,13.338,2.829,0.209,0.67
poly,3,10,0.01,3,0.5,11.788,2.592,0.327,0.685
poly,3,10,0.01,3,0.8,11.034,2.573,0.391,0.691
poly,3,10,0.01,4,0.01,16.392,2.988,0.011,0.631
poly,3,10,0.01,4,0.1,14.912,2.942,0.108,0.65
poly,3,10,0.01,4,0.5,12.575,2.658,0.279,0.672
poly,3,10,0.01,4,0.8,11.704,2.639,0.354,0.675
poly,3,10,0.001,1,0.01,9.367,2.385,0.473,0.74
poly,3,10,0.001,1,0.1,9.182,2.354,0.484,0.749
poly,3,10,0.001,1,0.5,9.304,2.415,0.499,0.748
poly,3,10,0.001,1,0.8,9.388,2.457,0.491,0.747
poly,3,10,0.001,2,0.01,9.361,2.393,0.468,0.741
poly,3,10,0.001,2,0.1,9.191,2.36,0.475,0.747
poly,3,10,0.001,2,0.5,9.394,2.429,0.485,0.743
poly,3,10,0.001,2,0.8,9.3,2.429,0.479,0.744
poly,3,10,0.001,3,0.01,9.332,2.392,0.467,0.741
poly,3,10,0.001,3,0.1,9.193,2.36,0.472,0.747
poly,3,10,0.001,3,0.5,9.497,2.443,0.477,0.74
poly,3,10,0.001,3,0.8,9.285,2.419,0.475,0.742
poly,3,10,0.001,4,0.01,9.313,2.384,0.467,0.742
poly,3,10,0.001,4,0.1,9.147,2.356,0.474,0.747
poly,3,10,0.001,4,0.5,9.491,2.442,0.477,0.74
poly,3,10,0.001,4,0.8,9.306,2.423,0.473,0.742
poly,3,15,0.1,1,0.01,172.423,6.92,-9.332,0.232
poly,3,15,0.1,1,0.1,110.904,5.967,-5.682,0.282
poly,3,15,0.1,1,0.5,21.269,3.374,-0.201,0.519
poly,3,15,0.1,1,0.8,10.247,2.534,0.427,0.691
poly,3,15,0.1,2,0.01,186.885,7.239,-10.037,0.24
poly,3,15,0.1,2,0.1,115.258,6.212,-5.799,0.281
poly,3,15,0.1,2,0.5,26.329,3.64,-0.489,0.488
poly,3,15,0.1,2,0.8,10.711,2.596,0.404,0.689
poly,3,15,0.1,3,0.01,196.194,7.395,-10.569,0.242
poly,3,15,0.1,3,0.1,119.395,6.319,-5.971,0.279
poly,3,15,0.1,3,0.5,30.065,3.793,-0.707,0.459
poly,3,15,0.1,3,0.8,11.276,2.662,0.372,0.678
poly,3,15,0.1,4,0.01,202.704,7.51,-10.944,0.243
poly,3,15,0.1,4,0.1,122.992,6.406,-6.147,0.277
poly,3,15,0.1,4,0.5,33.209,3.901,-0.893,0.437
poly,3,15,0.1,4,0.8,11.753,2.711,0.344,0.668
poly,3,15,0.01,1,0.01,12.42,2.67,0.269,0.68
poly,3,15,0.01,1,0.1,11.239,2.611,0.345,0.7
poly,3,15,0.01,1,0.5,10.664,2.517,0.396,0.707
poly,3,15,0.01,1,0.8,9.865,2.456,0.452,0.717
poly,3,15,0.01,2,0.01,14.847,2.887,0.107,0.647
poly,3,15,0.01,2,0.1,13.461,2.838,0.202,0.668
poly,3,15,0.01,2,0.5,11.711,2.588,0.332,0.687
poly,3,15,0.01,2,0.8,10.96,2.565,0.395,0.692
poly,3,15,0.01,3,0.01,17.291,3.05,-0.048,0.622
poly,3,15,0.01,3,0.1,15.774,3.001,0.053,0.638
poly,3,15,0.01,3,0.5,12.902,2.684,0.258,0.666
poly,3,15,0.01,3,0.8,12.026,2.68,0.335,0.667
poly,3,15,0.01,4,0.01,19.217,3.188,-0.166,0.603
poly,3,15,0.01,4,0.1,17.753,3.127,-0.071,0.615
poly,3,15,0.01,4,0.5,14.028,2.764,0.188,0.648
poly,3,15,0.01,4,0.8,12.959,2.793,0.278,0.648
poly,3,15,0.001,1,0.01,9.393,2.392,0.469,0.74
poly,3,15,0.001,1,0.1,9.222,2.359,0.479,0.747
poly,3,15,0.001,1,0.5,9.388,2.424,0.489,0.743
poly,3,15,0.001,1,0.8,9.341,2.45,0.488,0.746
poly,3,15,0.001,2,0.01,9.311,2.389,0.469,0.742
poly,3,15,0.001,2,0.1,9.197,2.362,0.472,0.747
poly,3,15,0.001,2,0.5,9.464,2.441,0.48,0.741
poly,3,15,0.001,2,0.8,9.271,2.415,0.478,0.743
poly,3,15,0.001,3,0.01,9.299,2.379,0.468,0.743
poly,3,15,0.001,3,0.1,9.124,2.354,0.476,0.747
poly,3,15,0.001,3,0.5,9.499,2.444,0.477,0.74
poly,3,15,0.001,3,0.8,9.294,2.421,0.473,0.742
poly,3,15,0.001,4,0.01,9.304,2.374,0.466,0.742
poly,3,15,0.001,4,0.1,9.109,2.352,0.477,0.747
poly,3,15,0.001,4,0.5,9.534,2.447,0.473,0.739
poly,3,15,0.001,4,0.8,9.349,2.428,0.469,0.741
