kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,10,0.001,4,0.5,9.429,2.413,0.485,0.741
poly,2,10,0.001,4,0.8,9.249,2.356,0.495,0.749
poly,2,15,0.1,1,0.01,10.017,2.481,0.408,0.732
poly,2,15,0.1,1,0.1,10.063,2.501,0.394,0.73
poly,2,15,0.1,1,0.5,11.159,2.534,0.357,0.693
poly,2,15,0.1,1,0.8,14.274,2.695,0.228,0.615
poly,2,15,0.1,2,0.01,9.979,2.478,0.411,0.733
poly,2,15,0.1,2,0.1,10.05,2.501,0.394,0.73
poly,2,15,0.1,2,0.5,11.192,2.537,0.356,0.694
poly,2,15,0.1,2,0.8,14.296,2.695,0.226,0.615
poly,2,15,0.1,3,0.01,9.971,2.477,0.412,0.733
poly,2,15,0.1,3,0.1,10.04,2.5,0.395,0.73
poly,2,15,0.1,3,0.5,11.192,2.537,0.355,0.693
poly,2,15,0.1,3,0.8,14.308,2.695,0.225,0.615
poly,2,15,0.1,4,0.01,9.961,2.476,0.412,0.733
poly,2,15,0.1,4,0.1,10.024,2.5,0.396,0.731
poly,2,15,0.1,4,0.5,11.209,2.538,0.354,0.693
poly,2,15,0.1,4,0.8,14.307,2.694,0.225,0.615
poly,2,15,0.01,1,0.01,8.658,2.305,0.489,0.762
poly,2,15,0.01,1,0.1,8.981,2.357,0.472,0.757
poly,2,15,0.01,1,0.5,8.746,2.355,0.51,0.764
poly,2,15,0.01,1,0.8,8.904,2.353,0.496,0.748
poly,2,15,0.01,2,0.01,8.663,2.306,0.489,0.762
poly,2,15,0.01,2,0.1,9.07,2.363,0.466,0.755
poly,2,15,0.01,2,0.5,8.751,2.355,0.509,0.764
poly,2,15,0.01,2,0.8,8.921,2.352,0.495,0.748
poly,2,15,0.01,3,0.01,8.666,2.306,0.488,0.762
poly,2,15,0.01,3,0.1,9.102,2.365,0.464,0.755
poly,2,15,0.01,3,0.5,8.752,2.355,0.509,0.764
poly,2,15,0.01,3,0.8,8.926,2.353,0.495,0.747
poly,2,15,0.01,4,0.01,8.665,2.306,0.488,0.762
poly,2,15,0.01,4,0.1,9.112,2.365,0.463,0.754
poly,2,15,0.01,4,0.5,8.752,2.355,0.509,0.764
poly,2,15,0.01,4,0.8,8.931,2.353,0.495,0.747
poly,2,15,0.001,1,0.01,9.251,2.394,0.482,0.744
poly,2,15,0.001,1,0.1,9.233,2.398,0.484,0.747
poly,2,15,0.001,1,0.5,9.343,2.411,0.498,0.748
poly,2,15,0.001,1,0.8,9.279,2.401,0.5,0.75
poly,2,15,0.001,2,0.01,9.599,2.439,0.458,0.734
poly,2,15,0.001,2,0.1,9.274,2.4,0.476,0.744
poly,2,15,0.001,2,0.5,9.398,2.409,0.488,0.743
poly,2,15,0.001,2,0.8,9.252,2.365,0.496,0.749
poly,2,15,0.001,3,0.01,9.788,2.456,0.445,0.73
poly,2,15,0.001,3,0.1,9.259,2.405,0.475,0.742
poly,2,15,0.001,3,0.5,9.414,2.413,0.486,0.741
poly,2,15,0.001,3,0.8,9.23,2.354,0.495,0.749
poly,2,15,0.001,4,0.01,9.864,2.467,0.438,0.728
poly,2,15,0.001,4,0.1,9.255,2.406,0.474,0.741
poly,2,15,0.001,4,0.5,9.38,2.411,0.488,0.743
poly,2,15,0.001,4,0.8,9.251,2.354,0.493,0.747
poly,3,1,0.1,1,0.01,16.735,2.812,-0.029,0.604
poly,3,1,0.1,1,0.1,17.484,2.797,-0.13,0.617
poly,3,1,0.1,1,0.5,10.658,2.507,0.381,0.7
poly,3,1,0.1,1,0.8,10.783,2.52,0.385,0.713
poly,3,1,0.1,2,0.01,16.142,2.789,0.014,0.614
poly,3,1,0.1,2,0.1,16.987,2.814,-0.089,0.635
poly,3,1,0.1,2,0.5,10.583,2.52,0.4,0.694
poly,3,1,0.1,2,0.8,11.563,2.563,0.37,0.681
poly,3,1,0.1,3,0.01,15.262,2.77,0.076,0.624
poly,3,1,0.1,3,0.1,14.792,2.783,0.092,0.648
poly,3,1,0.1,3,0.5,11.007,2.555,0.375,0.685
poly,3,1,0.1,3,0.8,12.719,2.627,0.32,0.657
poly,3,1,0.1,4,0.01,14.729,2.77,0.119,0.628
poly,3,1,0.1,4,0.1,13.371,2.759,0.21,0.658
poly,3,1,0.1,4,0.5,11.393,2.595,0.348,0.675
poly,3,1,0.1,4,0.8,13.629,2.679,0.276,0.638
poly,3,1,0.01,1,0.01,9.032,2.366,0.482,0.754
poly,3,1,0.01,1,0.1,9.255,2.398,0.47,0.752
poly,3,1,0.01,1,0.5,9.414,2.416,0.487,0.752
poly,3,1,0.01,1,0.8,9.133,2.396,0.503,0.754
poly,3,1,0.01,2,0.01,9.204,2.384,0.461,0.752
poly,3,1,0.01,2,0.1,9.152,2.367,0.463,0.753
poly,3,1,0.01,2,0.5,9.153,2.385,0.496,0.757
poly,3,1,0.01,2,0.8,8.992,2.359,0.496,0.75
poly,3,1,0.01,3,0.01,8.952,2.349,0.473,0.758
poly,3,1,0.01,3,0.1,9.091,2.357,0.464,0.755
poly,3,1,0.01,3,0.5,9.13,2.396,0.491,0.757
poly,3,1,0.01,3,0.8,8.963,2.357,0.495,0.749
poly,3,1,0.01,4,0.01,8.796,2.323,0.482,0.76
poly,3,1,0.01,4,0.1,9.013,2.352,0.469,0.757
poly,3,1,0.01,4,0.5,8.927,2.376,0.5,0.761
poly,3,1,0.01,4,0.8,8.913,2.352,0.496,0.748
poly,3,1,0.001,1,0.01,11.146,2.598,0.43,0.749
poly,3,1,0.001,1,0.1,11.033,2.592,0.438,0.752
poly,3,1,0.001,1,0.5,11.448,2.622,0.422,0.753
poly,3,1,0.001,1,0.8,12.415,2.772,0.374,0.742
poly,3,1,0.001,2,0.01,9.162,2.38,0.498,0.75
poly,3,1,0.001,2,0.1,9.304,2.412,0.493,0.751
poly,3,1,0.001,2,0.5,9.471,2.426,0.5,0.754
poly,3,1,0.001,2,0.8,10.184,2.509,0.472,0.742
poly,3,1,0.001,3,0.01,9.208,2.389,0.485,0.744
poly,3,1,0.001,3,0.1,9.231,2.397,0.485,0.747
poly,3,1,0.001,3,0.5,9.325,2.41,0.501,0.749
poly,3,1,0.001,3,0.8,9.325,2.41,0.498,0.749
poly,3,1,0.001,4,0.01,9.496,2.427,0.465,0.736
poly,3,1,0.001,4,0.1,9.245,2.401,0.479,0.745
poly,3,1,0.001,4,0.5,9.4,2.409,0.492,0.745
poly,3,1,0.001,4,0.8,9.202,2.372,0.499,0.75
poly,3,5,0.1,1,0.01,53.691,3.489,-3.025,0.579
poly,3,5,0.1,1,0.1,50.896,3.517,-2.811,0.598
poly,3,5,0.1,1,0.5,17.427,2.909,-0.129,0.594
poly,3,5,0.1,1,0.8,16.223,2.88,0.121,0.616
poly,3,5,0.1,2,0.01,43.254,3.451,-2.154,0.592
poly,3,5,0.1,2,0.1,45.059,3.519,-2.306,0.601
poly,3,5,0.1,2,0.5,17.474,2.955,-0.103,0.613
poly,3,5,0.1,2,0.8,19.367,3.008,-0.029,0.589
poly,3,5,0.1,3,0.01,39.409,3.442,-1.824,0.595
poly,3,5,0.1,3,0.1,40.864,3.502,-1.945,0.602
poly,3,5,0.1,3,0.5,18.512,3.002,-0.171,0.609
poly,3,5,0.1,3,0.8,21.77,3.104,-0.151,0.568
poly,3,5,0.1,4,0.01,37.279,3.432,-1.642,0.596
poly,3,5,0.1,4,0.1,38.385,3.491,-1.73,0.601
poly,3,5,0.1,4,0.5,19.522,3.04,-0.237,0.602
poly,3,5,0.1,4,0.8,23.169,3.16,-0.222,0.553
poly,3,5,0.01,1,0.01,8.723,2.313,0.485,0.761
poly,3,5,0.01,1,0.1,8.904,2.351,0.478,0.758
poly,3,5,0.01,1,0.5,8.826,2.362,0.506,0.763
poly,3,5,0.01,1,0.8,8.871,2.357,0.499,0.749
poly,3,5,0.01,2,0.01,9.07,2.354,0.46,0.754
poly,3,5,0.01,2,0.1,9.179,2.385,0.457,0.75
poly,3,5,0.01,2,0.5,8.661,2.319,0.512,0.76
poly,3,5,0.01,2,0.8,8.909,2.368,0.497,0.749
poly,3,5,0.01,3,0.01,9.565,2.409,0.425,0.745
poly,3,5,0.01,3,0.1,9.366,2.4,0.441,0.746
poly,3,5,0.01,3,0.5,8.721,2.317,0.505,0.758
poly,3,5,0.01,3,0.8,8.949,2.372,0.496,0.751
poly,3,5,0.01,4,0.01,10.105,2.474,0.395,0.732
poly,3,5,0.01,4,0.1,9.519,2.424,0.433,0.744
poly,3,5,0.01,4,0.5,8.75,2.326,0.498,0.754
poly,3,5,0.01,4,0.8,9.11,2.395,0.489,0.75
poly,3,5,0.001,1,0.01,9.051,2.367,0.501,0.75
poly,3,5,0.001,1,0.1,9.194,2.392,0.495,0.752
poly,3,5,0.001,1,0.5,9.257,2.407,0.507,0.755
poly,3,5,0.001,1,0.8,9.962,2.491,0.478,0.742
poly,3,5,0.001,2,0.01,9.562,2.433,0.46,0.735
poly,3,5,0.001,2,0.1,9.285,2.4,0.475,0.744
poly,3,5,0.001,2,0.5,9.418,2.413,0.487,0.743
poly,3,5,0.001,2,0.8,9.216,2.364,0.497,0.75
poly,3,5,0.001,3,0.01,9.869,2.465,0.435,0.729
poly,3,5,0.001,3,0.1,9.287,2.408,0.469,0.741
poly,3,5,0.001,3,0.5,9.31,2.402,0.49,0.744
poly,3,5,0.001,3,0.8,9.278,2.358,0.491,0.747
poly,3,5,0.001,4,0.01,9.87,2.469,0.433,0.729
poly,3,5,0.001,4,0.1,9.388,2.417,0.461,0.74
poly,3,5,0.001,4,0.5,9.322,2.401,0.489,0.745
poly,3,5,0.001,4,0.8,9.323,2.355,0.487,0.746
poly,3,10,0.1,1,0.01,156.342,4.479,-11.236,0.5
poly,3,10,0.1,1,0.1,123.961,4.346,-8.58,0.515
poly,3,10,0.1,1,0.5,25.484,3.2,-0.643,0.577
poly,3,10,0.1,1,0.8,18.645,3.002,-0.027,0.582
poly,3,10,0.1,2,0.01,150.024,4.489,-10.706,0.504
poly,3,10,0.1,2,0.1,117.295,4.349,-7.982,0.524
poly,3,10,0.1,2,0.5,27.801,3.329,-0.809,0.557
poly,3,10,0.1,2,0.8,20.641,3.066,-0.114,0.567
poly,3,10,0.1,3,0.01,146.892,4.484,-10.449,0.505
poly,3,10,0.1,3,0.1,114.099,4.347,-7.694,0.525
poly,3,10,0.1,3,0.5,29.223,3.394,-0.906,0.544
poly,3,10,0.1,3,0.8,22.192,3.127,-0.187,0.557
poly,3,10,0.1,4,0.01,145.45,4.485,-10.326,0.505
poly,3,10,0.1,4,0.1,111.207,4.344,-7.441,0.526
