kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,10,0.01,2,0.5,8.474,2.344,0.563,0.762
poly,2,10,0.01,2,0.8,9.093,2.383,0.532,0.74
poly,2,10,0.01,3,0.01,8.726,2.303,0.547,0.751
poly,2,10,0.01,3,0.1,8.672,2.322,0.551,0.753
poly,2,10,0.01,3,0.5,8.479,2.344,0.563,0.762
poly,2,10,0.01,3,0.8,9.107,2.383,0.531,0.739
poly,2,10,0.01,4,0.01,8.728,2.302,0.547,0.751
poly,2,10,0.01,4,0.1,8.678,2.323,0.551,0.753
poly,2,10,0.01,4,0.5,8.487,2.344,0.563,0.761
poly,2,10,0.01,4,0.8,9.114,2.383,0.531,0.739
poly,2,10,0.001,1,0.01,9.324,2.409,0.524,0.74
poly,2,10,0.001,1,0.1,9.241,2.405,0.528,0.742
poly,2,10,0.001,1,0.5,9.316,2.413,0.529,0.749
poly,2,10,0.001,1,0.8,9.301,2.435,0.531,0.747
poly,2,10,0.001,2,0.01,9.342,2.4,0.519,0.734
poly,2,10,0.001,2,0.1,9.05,2.386,0.535,0.743
poly,2,10,0.001,2,0.5,9.41,2.414,0.523,0.742
poly,2,10,0.001,2,0.8,8.955,2.375,0.547,0.75
poly,2,10,0.001,3,0.01,9.314,2.401,0.519,0.733
poly,2,10,0.001,3,0.1,9.088,2.388,0.532,0.741
poly,2,10,0.001,3,0.5,9.437,2.41,0.521,0.74
poly,2,10,0.001,3,0.8,8.759,2.344,0.554,0.752
poly,2,10,0.001,4,0.01,9.368,2.405,0.516,0.732
poly,2,10,0.001,4,0.1,9.143,2.39,0.529,0.739
poly,2,10,0.001,4,0.5,9.452,2.412,0.52,0.739
poly,2,10,0.001,4,0.8,8.785,2.347,0.552,0.751
poly,2,15,0.1,1,0.01,12.724,2.602,0.332,0.665
poly,2,15,0.1,1,0.1,11.24,2.494,0.409,0.695
poly,2,15,0.1,1,0.5,10.316,2.5,0.448,0.676
poly,2,15,0.1,1,0.8,12.543,2.705,0.334,0.629
poly,2,15,0.1,2,0.01,12.703,2.601,0.334,0.665
poly,2,15,0.1,2,0.1,11.235,2.493,0.409,0.695
poly,2,15,0.1,2,0.5,10.328,2.502,0.448,0.675
poly,2,15,0.1,2,0.8,12.617,2.709,0.329,0.628
poly,2,15,0.1,3,0.01,12.7,2.601,0.334,0.666
poly,2,15,0.1,3,0.1,11.245,2.493,0.409,0.696
poly,2,15,0.1,3,0.5,10.329,2.5,0.447,0.675
poly,2,15,0.1,3,0.8,12.635,2.709,0.328,0.628
poly,2,15,0.1,4,0.01,12.687,2.599,0.334,0.666
poly,2,15,0.1,4,0.1,11.228,2.492,0.41,0.696
poly,2,15,0.1,4,0.5,10.312,2.5,0.448,0.676
poly,2,15,0.1,4,0.8,12.641,2.709,0.328,0.628
poly,2,15,0.01,1,0.01,8.433,2.275,0.563,0.759
