kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,15,0.1,1,0.1,12.285,2.643,0.275,0.663
poly,2,15,0.1,1,0.5,10.661,2.593,0.383,0.699
poly,2,15,0.1,1,0.8,13.078,2.757,0.23,0.616
poly,2,15,0.1,2,0.01,12.565,2.685,0.264,0.651
poly,2,15,0.1,2,0.1,12.304,2.643,0.274,0.663
poly,2,15,0.1,2,0.5,10.677,2.593,0.382,0.699
poly,2,15,0.1,2,0.8,13.073,2.756,0.231,0.618
poly,2,15,0.1,3,0.01,12.59,2.685,0.263,0.649
poly,2,15,0.1,3,0.1,12.286,2.644,0.275,0.663
poly,2,15,0.1,3,0.5,10.672,2.593,0.382,0.699
poly,2,15,0.1,3,0.8,13.075,2.757,0.231,0.618
poly,2,15,0.1,4,0.01,12.628,2.687,0.26,0.649
poly,2,15,0.1,4,0.1,12.373,2.646,0.269,0.662
poly,2,15,0.1,4,0.5,10.684,2.594,0.382,0.699
poly,2,15,0.1,4,0.8,13.074,2.757,0.231,0.618
poly,2,15,0.01,1,0.01,8.775,2.328,0.496,0.751
poly,2,15,0.01,1,0.1,8.979,2.356,0.484,0.746
poly,2,15,0.01,1,0.5,8.726,2.39,0.51,0.755
poly,2,15,0.01,1,0.8,8.825,2.38,0.503,0.751
poly,2,15,0.01,2,0.01,8.796,2.328,0.495,0.751
poly,2,15,0.01,2,0.1,8.992,2.357,0.482,0.745
poly,2,15,0.01,2,0.5,8.719,2.389,0.51,0.755
poly,2,15,0.01,2,0.8,8.845,2.382,0.502,0.751
poly,2,15,0.01,3,0.01,8.798,2.327,0.495,0.751
poly,2,15,0.01,3,0.1,8.996,2.357,0.482,0.745
poly,2,15,0.01,3,0.5,8.717,2.389,0.51,0.755
poly,2,15,0.01,3,0.8,8.862,2.383,0.501,0.75
poly,2,15,0.01,4,0.01,8.802,2.328,0.494,0.751
poly,2,15,0.01,4,0.1,9.0,2.357,0.482,0.745
poly,2,15,0.01,4,0.5,8.715,2.389,0.51,0.755
poly,2,15,0.01,4,0.8,8.871,2.384,0.5,0.749
poly,2,15,0.001,1,0.01,9.721,2.451,0.457,0.733
poly,2,15,0.001,1,0.1,9.484,2.431,0.473,0.74
poly,2,15,0.001,1,0.5,9.68,2.45,0.481,0.738
poly,2,15,0.001,1,0.8,9.209,2.409,0.501,0.749
poly,2,15,0.001,2,0.01,9.836,2.463,0.447,0.729
poly,2,15,0.001,2,0.1,9.525,2.438,0.468,0.739
poly,2,15,0.001,2,0.5,9.895,2.471,0.466,0.731
poly,2,15,0.001,2,0.8,9.016,2.378,0.506,0.752
poly,2,15,0.001,3,0.01,9.917,2.467,0.44,0.727
poly,2,15,0.001,3,0.1,9.518,2.438,0.467,0.738
poly,2,15,0.001,3,0.5,9.923,2.478,0.463,0.73
poly,2,15,0.001,3,0.8,8.986,2.379,0.504,0.751
poly,2,15,0.001,4,0.01,9.938,2.47,0.438,0.728
poly,2,15,0.001,4,0.1,9.535,2.44,0.466,0.738
poly,2,15,0.001,4,0.5,9.944,2.48,0.461,0.73
poly,2,15,0.001,4,0.8,8.972,2.376,0.505,0.751
poly,3,1,0.1,1,0.01,15.842,2.79,0.081,0.569
poly,3,1,0.1,1,0.1,15.71,2.783,0.065,0.576
poly,3,1,0.1,1,0.5,11.105,2.577,0.362,0.658
poly,3,1,0.1,1,0.8,10.574,2.585,0.38,0.677
poly,3,1,0.1,2,0.01,16.544,2.843,0.032,0.564
poly,3,1,0.1,2,0.1,16.354,2.834,0.027,0.565
poly,3,1,0.1,2,0.5,11.859,2.638,0.316,0.642
poly,3,1,0.1,2,0.8,11.728,2.682,0.308,0.647
poly,3,1,0.1,3,0.01,16.918,2.877,0.008,0.561
poly,3,1,0.1,3,0.1,16.635,2.855,0.009,0.562
poly,3,1,0.1,3,0.5,12.262,2.663,0.289,0.633
poly,3,1,0.1,3,0.8,12.597,2.76,0.256,0.626
poly,3,1,0.1,4,0.01,17.149,2.896,-0.006,0.559
poly,3,1,0.1,4,0.1,16.72,2.862,0.004,0.56
poly,3,1,0.1,4,0.5,12.533,2.688,0.272,0.627
poly,3,1,0.1,4,0.8,13.287,2.813,0.212,0.609
poly,3,1,0.01,1,0.01,8.965,2.375,0.494,0.746
poly,3,1,0.01,1,0.1,9.095,2.38,0.487,0.746
poly,3,1,0.01,1,0.5,9.427,2.437,0.49,0.748
poly,3,1,0.01,1,0.8,9.054,2.41,0.506,0.753
poly,3,1,0.01,2,0.01,8.955,2.353,0.486,0.748
poly,3,1,0.01,2,0.1,9.073,2.368,0.483,0.747
poly,3,1,0.01,2,0.5,9.076,2.404,0.502,0.752
poly,3,1,0.01,2,0.8,8.913,2.389,0.502,0.751
poly,3,1,0.01,3,0.01,8.881,2.332,0.489,0.75
poly,3,1,0.01,3,0.1,9.119,2.366,0.478,0.745
poly,3,1,0.01,3,0.5,8.94,2.404,0.504,0.753
poly,3,1,0.01,3,0.8,8.817,2.38,0.505,0.752
poly,3,1,0.01,4,0.01,8.844,2.331,0.491,0.75
poly,3,1,0.01,4,0.1,9.08,2.365,0.478,0.744
poly,3,1,0.01,4,0.5,8.774,2.393,0.509,0.754
poly,3,1,0.01,4,0.8,8.783,2.376,0.505,0.752
poly,3,1,0.001,1,0.01,11.168,2.598,0.428,0.75
poly,3,1,0.001,1,0.1,11.024,2.599,0.433,0.751
poly,3,1,0.001,1,0.5,11.539,2.644,0.415,0.753
poly,3,1,0.001,1,0.8,12.408,2.78,0.372,0.749
